State Name,state,Hospitals,Beds,Discharges,Days,Revenue ($000)
AK - Alaska,AK,10,1235,45209,243272,5374320
AL - Alabama,AL,91,15542,586229,2793017,60905720
AR - Arkansas,AR,52,7848,312334,1381005,26758580
AS - American Samoa,AS,1,0,0,0,0
AZ - Arizona,AZ,72,13296,607440,2650660,78179660
CA - California,CA,341,74186,3077804,14304467,474412407
CO - Colorado,CO,55,8243,395583,1754516,66900493
CT - Connecticut,CT,34,8847,364643,1716088,37847707
DC - Washington D.C.,DC,7,2156,93328,587420,12602337
DE - Delaware,DE,8,2072,93905,470640,7927141
FL - Florida,FL,215,55727,2537960,11678225,326534265
GA - Georgia,GA,112,22344,929988,4666056,105999672
GU - Guam,GU,3,306,12720,68167,395311
HI - Hawaii,HI,14,2583,89410,523274,8188297
IA - Iowa,IA,39,6266,261605,1164207,24892373
ID - Idaho,ID,18,2470,114917,470325,12387992
IL - Illinois,IL,141,28953,1227612,5571456,146597001
IN - Indiana,IN,101,16084,681661,3095821,80060807
KS - Kansas,KS,58,6466,276046,1195175,33860141
KY - Kentucky,KY,75,13799,535681,2544755,58285349
LA - Louisiana,LA,110,14989,514523,2440536,57513122
MA - Massachusetts,MA,73,15193,742882,3572597,66173822
MD - Maryland,MD,54,10806,557768,2832885,19350762
ME - Maine,ME,19,2893,113219,525304,11115123
MI - Michigan,MI,106,23819,1133880,4799860,95480164
MN - Minnesota,MN,55,10518,504757,2249643,44809014
MO - Missouri,MO,84,16712,708963,3264938,73650729
MP - Northern Mariana Islands,MP,1,74,4687,17728,0
MS - Mississippi,MS,70,9970,331387,1505682,34555305
MT - Montana,MT,17,2202,85975,344348,7493498
NC - North Carolina,NC,108,23194,988166,4796840,101120944
ND - North Dakota,ND,11,2003,75792,350291,8424459
NE - Nebraska,NE,26,4225,179781,824528,14960433
NH - New Hampshire,NH,14,2266,106775,517095,13197992
NJ - New Jersey,NJ,76,20207,880996,4324343,124668729
NM - New Mexico,NM,37,3917,164635,761417,18220259
NV - Nevada,NV,31,5726,290669,1423650,44470533
NY - New York,NY,187,57261,2199891,11801285,250306219
OH - Ohio,OH,148,27185,1206458,5439568,144135288
OK - Oklahoma,OK,90,10312,405550,1892442,47995016
OR - Oregon,OR,37,6218,321473,1384896,28115604
PA - Pennsylvania,PA,176,34816,1447985,6779075,208904471
PR - Puerto Rico,PR,53,8222,303114,1745101,4694376
RI - Rhode Island,RI,11,2424,104511,504353,9930597
SC - South Carolina,SC,65,11455,476702,2340944,58587387
SD - South Dakota,SD,24,2735,93832,392595,11430252
TN - Tennessee,TN,101,18522,777867,3679672,86258488
TX - Texas,TX,363,58055,2620527,12101152,327004910
UT - Utah,UT,35,4630,206389,815975,19418531
VA - Virginia,VA,90,17719,728496,3482072,82189192
VI - Virgin Islands,VI,2,184,4132,24718,194050
VT - Vermont,VT,7,828,38279,189096,4341232
WA - Washington,WA,62,10231,542999,2497068,65034365
WI - Wisconsin,WI,76,11050,493661,2198906,56034924
WV - West Virginia,WV,37,5712,212185,1055267,18775984
WY - Wyoming,WY,14,1261,32279,116042,3038880
,,,,,,
