State Name,state,Total area sq mi,Total area sqkm,Land area sq mi,Land area sqkm,Water area sq mi,Water area sqkm
Alabama,AL,52420.07,135767,50645.33,131171,1774.74,4597
Alaska,AK,665384.04,1723337,570640.95,1477953,94743.1,245384
American Samoa,AS,581.05,1505,76.46,198,504.6,1307
Arizona,AZ,113990.3,295234,113594.08,294207,396.22,1026
Arkansas,AR,53178.55,137732,52035.48,134771,1143.07,2961
California,CA,163694.74,423967,155779.22,403466,7915.52,20501
Colorado,CO,104093.67,269601,103641.89,268431,451.78,1170
Connecticut,CT,5543.41,14357,4842.36,12542,701.06,1816
Delaware,DE,2488.72,6446,1948.54,5047,540.18,1399
District of Columbia,DC,68.34,177,61.05,158,7.29,19
Florida,FL,65757.7,170312,53624.76,138887,12132.94,31424
Georgia,GA,59425.15,153910,57513.49,148959,1911.66,4951
Guam,GU,570.62,1478,209.8,543,360.82,935
Hawaii,HI,10931.72,28313,6422.63,16635,4509.09,11678
Idaho,ID,83568.95,216443,82643.12,214045,925.83,2398
Illinois,IL,57913.55,149995,55518.93,143793,2394.62,6202
Indiana,IN,36419.55,94326,35826.11,92789,593.44,1537
Iowa,IA,56272.81,145746,55857.13,144669,415.68,1077
Kansas,KS,82278.36,213100,81758.72,211754,519.64,1346
Kentucky,KY,40407.8,104656,39486.34,102269,921.46,2387
Louisiana,LA,52378.13,135659,43203.9,111898,9174.23,23761
Maine,ME,35379.74,91633,30842.92,79883,4536.82,11750
Maryland,MD,12405.93,32131,9707.24,25142,2698.69,6990
Massachusetts,MA,10554.39,27336,7800.06,20202,2754.33,7134
Michigan,MI,96713.51,250487,56538.9,146435,40174.61,104052
Minnesota,MN,86935.83,225163,79626.74,206232,7309.09,18930
Mississippi,MS,48431.78,125438,46923.27,121531,1508.51,3907
Missouri,MO,69706.99,180540,68741.52,178040,965.47,2501
Montana,MT,147039.71,380831,145545.8,376962,1493.91,3869
Nebraska,NE,77347.81,200330,76824.17,198974,523.64,1356
Nevada,NV,110571.82,286380,109781.18,284332,790.65,2048
New Hampshire,NH,9349.16,24214,8952.65,23187,396.51,1027
New Jersey,NJ,8722.58,22591,7354.22,19047,1368.36,3544
New Mexico,NM,121590.3,314917,121298.15,314161,292.15,757
New York,NY,54554.98,141297,47126.4,122057,7428.58,19240
North Carolina,NC,53819.16,139391,48617.91,125920,5201.25,13471
North Dakota,ND,70698.32,183108,69000.8,178711,1697.52,4397
Ohio,OH,44825.58,116098,40860.69,105829,3964.89,10269
Oklahoma,OK,69898.87,181037,68594.92,177660,1303.95,3377
Oregon,OR,98378.54,254799,95988.01,248608,2390.53,6191
Pennsylvania,PA,46054.34,119280,44742.7,115883,1311.64,3397
Puerto Rico,PR,5324.84,13791,3423.78,8868,1901.07,4924
Rhode Island,RI,1544.89,4001,1033.81,2678,511.07,1324
South Carolina,SC,32020.49,82933,30060.7,77857,1959.79,5076
South Dakota,SD,77115.68,199729,75811,196350,1304.68,3379
Tennessee,TN,42144.25,109153,41234.9,106798,909.36,2355
Texas,TX,268596.46,695662,261231.71,676587,7364.75,19075
United States Virgin Islands,VI,732.93,1898,134.32,348,598.61,1550
Utah,UT,84896.88,219882,82169.62,212818,2727.26,7064
Vermont,VT,9616.36,24906,9216.66,23871,399.71,1035
Virginia,VA,42774.93,110787,39490.09,102279,3284.84,8508
Washington,WA,71297.95,184661,66455.52,172119,4842.43,12542
West Virginia,WV,24230.04,62756,24038.21,62259,191.83,497
Wisconsin,WI,65496.38,169635,54157.8,140268,11338.57,29367
Wyoming,WY,97813.01,253335,97093.14,251470,719.87,1864
